"SlotPitchRatio","tau_so","Harmonic_order","FluxLinkage(Winding)"
0.666666666666667,0.02,1,0.230855725172348
0.666666666666667,0.02,3,0.000146799966460885
0.666666666666667,0.02,5,-0.0482014521970704
0.666666666666667,0.02,7,0.0345960045525344
0.666666666666667,0.02,9,0.000103013173616803
0.666666666666667,0.02,11,-0.0220635012044528
0.666666666666667,0.02,13,0.0184562517702032
0.666666666666667,0.0257142857142857,1,0.231213119956408
0.666666666666667,0.0257142857142857,3,0.00018009601346326
0.666666666666667,0.0257142857142857,5,-0.0482215281089314
0.666666666666667,0.0257142857142857,7,0.0344547730402086
0.666666666666667,0.0257142857142857,9,0.000161955723656008
0.666666666666667,0.0257142857142857,11,-0.0218132286401434
0.666666666666667,0.0257142857142857,13,0.0180705998773982
0.666666666666667,0.0314285714285714,1,0.231412406386843
0.666666666666667,0.0314285714285714,3,0.000262281328038703
0.666666666666667,0.0314285714285714,5,-0.0481706116224548
0.666666666666667,0.0314285714285714,7,0.0342148139411188
0.666666666666667,0.0314285714285714,9,0.000242406042028984
0.666666666666667,0.0314285714285714,11,-0.0214671444818401
0.666666666666667,0.0314285714285714,13,0.0175642733973857
0.666666666666667,0.0371428571428571,1,0.231508172789135
0.666666666666667,0.0371428571428571,3,0.000363605707684171
0.666666666666667,0.0371428571428571,5,-0.0480548776272439
0.666666666666667,0.0371428571428571,7,0.0338814910138921
0.666666666666667,0.0371428571428571,9,0.000338178107267209
0.666666666666667,0.0371428571428571,11,-0.0210314524583146
0.666666666666667,0.0371428571428571,13,0.0169413015423075
0.666666666666667,0.0428571428571429,1,0.231553168329924
0.666666666666667,0.0428571428571429,3,0.000477085514630883
0.666666666666667,0.0428571428571429,5,-0.0478949805423465
0.666666666666667,0.0428571428571429,7,0.0334831292352242
0.666666666666667,0.0428571428571429,9,0.000447729497092861
0.666666666666667,0.0428571428571429,11,-0.0205174502756561
0.666666666666667,0.0428571428571429,13,0.0162238411739493
0.666666666666667,0.0485714285714286,1,0.231567753463835
0.666666666666667,0.0485714285714286,3,0.000588227088447369
0.666666666666667,0.0485714285714286,5,-0.0476886207195098
0.666666666666667,0.0485714285714286,7,0.0330131947745477
